backend,variant,nlev,nproma,cell_dist,blocking,parallelization,run_id,time_ms
cpu,3,90,81920,uniform,0,omp_for,23,1.653952000
cpu,3,90,81920,uniform,0,omp_for,24,1.545871000
cpu,3,90,81920,uniform,0,omp_for,25,1.610862000
cpu,3,90,81920,uniform,0,omp_for,26,1.553071000
cpu,3,90,81920,uniform,0,omp_for,27,1.551552000
cpu,3,90,81920,uniform,0,omp_for,28,1.533931000
cpu,3,90,81920,uniform,0,omp_for,29,1.578901000
cpu,3,90,81920,uniform,0,omp_for,30,1.581212000
cpu,3,90,81920,uniform,0,omp_for,31,1.530151000
cpu,3,90,81920,uniform,0,omp_for,32,1.655242000
cpu,3,90,81920,uniform,0,omp_for,33,1.529102000
cpu,3,90,81920,uniform,0,omp_for,34,1.546411000
cpu,3,90,81920,uniform,0,omp_for,35,1.562162000
